"SOURCE","TARGET"
"Shaffer Smith","Armando C. Pérez"
"Vinay Rao","Armando C. Pérez"
"Stephan Taft","Armando C. Pérez"
"Michael ""Freakin"" Everett","Armando C. Pérez"
"Jacques Webster II","Bill Kapri"
"Kiari Cephus","Bill Kapri"
"David Doman","Bill Kapri"
"Christina Gandy-Rodgers","Bill Kapri"
"Justin Thomas","Bill Kapri"
"Marcus Prince","Bill Kapri"
"Jermaine Mauldin","Cornell Haynes, Jr."
"Ali Jones","Cornell Haynes, Jr."
"Cameron Gipp","Cornell Haynes, Jr."
"James Phillips","Cornell Haynes, Jr."
"Paul Slayton","Cornell Haynes, Jr."
"Beyoncé Knowles","Cornell Haynes, Jr."
"Kelendria Rowland","Cornell Haynes, Jr."
"Tenitra Williams","Cornell Haynes, Jr."
"Garrett Hamler","Cornell Haynes, Jr."
"Rich Harrison","Cornell Haynes, Jr."
"Dominic Woods","Tramar Dillard"
"Lucas Rego","Tramar Dillard"
"Mike Caren","Tramar Dillard"
"Andrew Cedar","Tramar Dillard"
"Charles W. Miller","Tramar Dillard"
"Gerald Goldstein","Tramar Dillard"
"Harold Brown","Tramar Dillard"
"Howard E. Scott","Tramar Dillard"
"Justin Franks","Tramar Dillard"
"Lee Oskar","Tramar Dillard"
"Leroy L. Jordan","Tramar Dillard"
"B.B. Morris Dickerson","Tramar Dillard"
"Sylvester Allen","Tramar Dillard"
"Mark Andrews","Earl Simmons"
"Tamir Ruffin","Earl Simmons"
"Phillip Weatherspoon","Earl Simmons"
"Stephen Garrett","Dwayne Carter"
"Darius Harrison","Dwayne Carter"
"Jim Jonsin","Dwayne Carter"
"Rex Zamor","Dwayne Carter"
"Marcus Cooper","Dwayne Carter"
"Cameron Thomaz","Calvin Broadus"
"Peter Hernandez","Calvin Broadus"
"Philip Lawrence","Calvin Broadus"
"Ari Levine","Calvin Broadus"
"Christopher Brown","Calvin Broadus"
"Ted Bluechel","Calvin Broadus"
"Marlon Barrow","Calvin Broadus"
"Tyrone Griffin","Calvin Broadus"
"Nye Lee","Calvin Broadus"
"Marquise Newman","Calvin Broadus"
"Max Bennet","Calvin Broadus"
"Larry Carlton","Calvin Broadus"
"John Guerin","Calvin Broadus"
"Joe Sample","Calvin Broadus"
"Tom Scott","Calvin Broadus"
"Wyclef Jean","Shakira"
"Omar Alfanno","Shakira"
"Latavia Parker","Shakira"
"Luis Dias","Shakira"
"Jerry Duplessis","Shakira"
"Archi Pena","Shakira"
"Andreas Carlsson","Max Martin"
"Rami","Max Martin"
"Steven ""Lenky"" Marsden","Sean Paul Henriques"
"Barry Reese","Robert Kelly"
"Kasseem Dean","Robert Kelly"
"B. Edwards","Robert Kelly"
"N. Rodgers","Robert Kelly"
"Pharrell Williams","Gwen Stefani"
"Chad Hugo","Gwen Stefani"
"Aubrey Graham","Onika Maraj"
"Nikhil Seetharam","Onika Maraj"
"Tyler Williams","Onika Maraj"
"Flo Rida","Etta James"
"Tim Bergling","Etta James"
"Arash Pournouri","Etta James"
"Breyan Isaac","Etta James"
"Cirkut","Etta James"
"Leroy Kirkland","Etta James"
"Dr. Luke","Etta James"
"Pearl Woods","Etta James"
"Jerry Cruz","Khadimou Fall"
"Denzel Baptise","Khadimou Fall"
"David Biral","Khadimou Fall"
"Hal Blair","Don Robertson"
"James Holvay","Gary Biesbier"
"Billy Lawrie","Lulu"
"Steve DuBerry","Lulu"
"Polow da Don","Usher Raymond"
"Young Jeezy","Usher Raymond"
"Lamar Taylor","Usher Raymond"
"Ryon Lovett","Usher Raymond"
"Keith Thomas","Usher Raymond"
"Darnell Dalton","Usher Raymond"
"Thomas Barnes","Blete Rexha"
"Gerald Gillum","Blete Rexha"
"Lauren Christy","Blete Rexha"
"Michael Keenan","Blete Rexha"
"Ben Kohn","Blete Rexha"
"Christoph Andersson","Blete Rexha"
"Peter Kelleher","Blete Rexha"
"Joseph Angel","Fred Ball"
"Robyn Fenty","Fred Ball"
"Tuhin Roy","Jake Smith"
"William Hammond","Jake Smith"
"Chris Jasper","Ronald Isley"
"O'Kelly Isley Jr.","Ronald Isley"
"Marvin Isley","Ronald Isley"
"Vincent Brown","Ronald Isley"
"Anthony Chriss","Ronald Isley"
"Keir Gist","Ronald Isley"
"Ernie Isley","Ronald Isley"
"Jamal Jones","Stacy Ferguson"
"Sean Garrett","Stacy Ferguson"
"Mike Hartnett","Stacy Ferguson"
"Jesse Carmichael","Adam Levine"
"Mickey Madden","Adam Levine"
"Jeff Bhasker","Pink"
"Nate Ruess","Pink"
"Anthony Criss","Vincent Brown"
"Keir Gist","Vincent Brown"
"The Corporation","Vincent Brown"
"Herb Rooney","Vincent Brown"
"Arnthor Birgisson","Anders Bagge"
"Samantha Mumba","Anders Bagge"
"David Payton","William Adams"
"Richard Stannard","Ellie Goulding"
"Ash Howes","Ellie Goulding"
"Wayne Hector","Steve Mac"
"Ed Drewett","Steve Mac"
"Howard Greenfield","Neil Sedaka"
"Jud Friedman","Allan Rich"
"Chris Stokes","Claudio Cueni"
"Maggie Reilly","Stuart Mackilliop"
"Peter Risavy","Stuart Mackilliop"
"Max Martin","Alicia Moore"
"Karl Schuster","Alicia Moore"
"Rashad ""Ringo"" Smith","James Smith"
"Albert Brown","James Smith"
"Kyle West (album version)","James Smith"
"Samuel Barnes","James Smith"
"Jean-Claude Olivier","James Smith"
"Leonard White","James Smith"
"Bernard Wright (remix)","James Smith"
"Rodney Jerkins","LaShawn Daniels"
"Fred Jerkins III","LaShawn Daniels"
"Isaac Phillips","LaShawn Daniels"
"Toni Estes","LaShawn Daniels"
"Whitney Houston","LaShawn Daniels"
"Scott Storch","Curtis Jackson"
"Mike Jones","Faheem Najm"
"Tor Erik Hermansen","Mikkel S. Eriksen"
"Espen Lind","Mikkel S. Eriksen"
"Amund Bjorklund","Mikkel S. Eriksen"
"Beyonce Knowles","Mikkel S. Eriksen"
"Shaffer 'Ne-Yo' Smith","Mikkel S. Eriksen"
"Tommee Profitt","Nate Feuerstein"
"Color Me Badd","Elliot Straite"
"Harold Lilly","Warryn ""Baby Dubb"" Campbell"
"John Smith","Warryn ""Baby Dubb"" Campbell"
"Biz Markie","Warryn ""Baby Dubb"" Campbell"
"Dre","Joseph Cartagena"
"Scott Storch","Joseph Cartagena"
"Jermaine Dupri","Usher"
"Manuel Seal","Usher"
"Glenn Sutton","Billy Sherrill"
"Joel Little","Taylor Swift"
"Cory Rooney","Marc Anthony"
"James Harris III","Janet Jackson"
"Claydes Smith","Janet Jackson"
"Dennis ""D.T."" Thomas","Janet Jackson"
"Donald Boyce","Janet Jackson"
"George Brown","Janet Jackson"
"Richard Westfield","Janet Jackson"
"Robert ""Kool"" Bell","Janet Jackson"
"Robert ""Spike"" Mickens","Janet Jackson"
"Ronald Bell","Janet Jackson"
"Richard Dean Taylor","Janet Jackson"
"Frank Wilson","Janet Jackson"
"Pam Sawyer","Janet Jackson"
"Henry Cosby","Janet Jackson"
"Deke Richards","Janet Jackson"
"Terry Lewis","Janet Jackson"
"David Foster","Madonna"
"Paz Martinez (Spanish version)","Madonna"
"Sacha Skarbek","James Blunt"
"Amanda Ghost","James Blunt"
"Stephen Pearcy","Juan Croucier"
"Bryce Wilson","Kenneth Edmonds"
"Robert John ""Mutt"" Lange","Shania Twain"
"Mario Winans","Charles Williamson"
"Marian Gold","Shawn Carter"
"Bernhard Lloyd","Shawn Carter"
"Frank Mertens","Shawn Carter"
"Ali Tamposi","Calum Hood"
"Andrew Watt","Calum Hood"
"Ashton Irwin","Calum Hood"
"Luke Hemmings","Calum Hood"
"Louis Bell","Calum Hood"
"Darrell Allamby","Trevor Smith"
"Antoinette Roberson","Trevor Smith"
"Irving Lorenzo","Joseph Cartagena"
"Jeffrey Atkins","Joseph Cartagena"
"Andre Parker","Joseph Cartagena"
"Christopher Rios","Joseph Cartagena"
"Terry Britten","Joseph Cartagena"
"Tor Erik Hermansen","Mikkel S. Eriksen"
"Ester Dean","Mikkel S. Eriksen"
"Traci Hale","Mikkel S. Eriksen"
"Aubrey Graham","Mikkel S. Eriksen"
"Kisean Anderson","Jason Desrouleaux"
"Achraf Baachaoui","Jason Desrouleaux"
"J-Lex","Jason Desrouleaux"
"Leff Row","Jason Desrouleaux"
"J.R. Rotem","Jason Desrouleaux"
"Imogen Heap","Jason Desrouleaux"
"James Scheffer","Clifford Harris"
"David Siegel","Clifford Harris"
"Dace Crawford","Cheryl James"
"Hurby Azor","Cheryl James"
"Andrew Wright","Calvin Lewis"
"Tommee Profitt","Nate Feuerstein"
"Philip Lawrence","Bruno Mars"
"Ari Levine","Bruno Mars"
"Andrew Wyatt","Bruno Mars"
"Todd Harrell","Brad Arnold"
"Chris Henderson","Brad Arnold"
"Matt Roberts","Brad Arnold"
"Tim Lever","Eliot Kennedy"
"Mike Percy","Eliot Kennedy"
"John McLaughlin","Eliot Kennedy"
"Five","Eliot Kennedy"
"Neal Schon","Steve Perry"
"Jonathan Cain","Steve Perry"
"Gloria Estefan","Shakira"
"Lukasz Gottwald","Ester Dean"
"Calvin Harris","Ester Dean"
"Henry Walter","Ester Dean"
"Geoff Mack","Ester Dean"
"Eric Seats","Melissa Elliott"
"Rapture Stewart","Melissa Elliott"
"Brandon Casey","Jermaine Dupri"
"Bryan-Michael Cox","Jermaine Dupri"
"Brian Casey","Jermaine Dupri"
"Cornell Haynes Jr.","Jermaine Dupri"
"Aaron Kamin","Alex Band"
"David Glass","Tramar Dillard"
"Marcus Killian","Tramar Dillard"
"Justin Franks","Tramar Dillard"
"Breyan Isaac","Tramar Dillard"
"Antonio Mobley","Tramar Dillard"
"Max Martin","Pink"
"Lukasz Gottwald","Pink"
"Cecil Glenn","Stephen Gibson"
"Jay Ski","C.C. Lemonhead"
"Lukasz Gottwald","Katy Perry"
"Max Martin","Katy Perry"
"Henry Walter","Katy Perry"
"Bonnie McKee","Katy Perry"
"Eric Frederic","Jason Desrouleaux"
"Axident","Jason Desrouleaux"
"Jacob Kasher","Jason Desrouleaux"
"Sean Douglas","Jason Desrouleaux"
"John Ryan","Jason Desrouleaux"
"Joe Spargur","Jason Desrouleaux"
"Calvin Broadus","Jason Desrouleaux"
"soFLY & Nius","Flo Rida"
"Sia","Flo Rida"
"Axwell","Flo Rida"
"Jacob Luttrell","Flo Rida"
"Marcus Cooper","Flo Rida"
"Niklaas Vogel-Kern","Flo Rida"
"Max Martin","Taylor Swift"
"Shellback","Taylor Swift"
"Mark Tremonti","Scott Stapp"
"Tor Erik Hermansen","Johntá Austin"
"Mikkel Eriksen","Johntá Austin"
"Espen Lind","Johntá Austin"
"Amund Bjørklund","Johntá Austin"
"Jeffrey Bass","Marshall Mathers"
"Kevin Bell","Marshall Mathers"
"Anne Dudley","Marshall Mathers"
"Malcolm McLaren","Marshall Mathers"
"Trevor Horn","Marshall Mathers"
"Babyface","Mariah Carey"
"Pebe Sebert","Kesha Sebert"
"Joshua Coleman","Kesha Sebert"
"Jule Styne","Sammy Cahn"
"Joe Kent","Jerrell Jones"
"Mark Williams","Jerrell Jones"
"David Guetta","Sia Furler"
"Giorgio Tuinfort","Sia Furler"
"Nick van de Wall","Sia Furler"
"David Grahame","Eric Martin"
"James Harris III","Janet Jackson"
"Terry Lewis","Janet Jackson"
"Rene Elizondo Jr.","Janet Jackson"
"Bill Champlin","Ray Kennedy"
"Jim Duguid","Alex Clare"
"Tor Hermansen","James Napier"
"Mikkel Eriksen","James Napier"
"Sam Smith","James Napier"
"Robyn Fenty","Aubrey Graham"
"Paul ""Nineteen85"" Jefferies","Aubrey Graham"
"Maneesh Bidaye","Aubrey Graham"
"Dwayne Chin-Quee","Aubrey Graham"
"Andrew Hershey","Aubrey Graham"
"Andre Sutherland","Aubrey Graham"
"Atom Martin","Aubrey Graham"
"Terence Lam","Aubrey Graham"
"Ed Robertson","Steven Page"
"Pat Hicks","Albert V Bryant"
"Kasseem Dean","Trevor James Smith Jr."
"Thomas Bangalter","Trevor James Smith Jr."
"Guy-Manuel de Homem-Christo","Trevor James Smith Jr."
"Crystal Johnson","Mariah Carey"
"Terius Nash","Mariah Carey"
"Christopher Stewart","Mariah Carey"
"Christian Karlsson","Cathy Dennis"
"Pontus Winnberg","Cathy Dennis"
"Henrik Jonback","Cathy Dennis"
"Max Ernst","Chelsea Lee"
"Spencer Ernst","Chelsea Lee"
"Philip Lawrence","Bruno Mars"
"Ari Levine","Bruno Mars"
"Phredley Brown","Bruno Mars"
"Thibaut Berland","Bruno Mars"
"Christopher Khan","Bruno Mars"
"Teddy Geiger","Mendes"
"Scott Harris","Mendes"
"Darryl Pearson","Melissa Elliott"
"Tim Mosley","Melissa Elliott"
"Sean Combs","Melissa Elliott"
"Mario Winans","Melissa Elliott"
"Keisha Spivey","Melissa Elliott"
"Jakima Raynor","Melissa Elliott"
"Daniel Jones","Darren Hayes"
"Eric Frederic","Melissa Jefferson"
"Jesse Saint John","Melissa Jefferson"
"Steven Cheung","Melissa Jefferson"
"Amina Bogle-Barriteau","Melissa Jefferson"
"Stephen Garrett","Timothy Mosley"
"Antonio Dixon","Colbie Caillat"
"Babyface","Colbie Caillat"
"Jason Reeves","Colbie Caillat"
"Michael Caruso","Tonio K"
"John Keller","Tonio K"
"Bruno Mars","Bobby Simmons, Jr."
"Philip Lawrence","Bobby Simmons, Jr."
"Ari Levine","Bobby Simmons, Jr."
"Dev","Far East Movement"
"Charlotte Aitchison","Amethyst Kelly"
"George Astasio","Amethyst Kelly"
"Jason Pebworth","Amethyst Kelly"
"Jonathan Christopher Shave","Amethyst Kelly"
"Kurtis McKenzie","Amethyst Kelly"
"Ray Charles","Kanye West"
"Renald Richard","Kanye West"
"Chad Hugo","Pharrell Williams"
"Shawn Carter","Pharrell Williams"
"Jamall Willingham","Carlos A. Valente"
"Gerald Tiller","Carlos A. Valente"
"Bernard Leverette","Carlos A. Valente"
"Maurice Gleaton","Carlos A. Valente"
"D'Angelo Hun","Carlos A. Valente"
"Charles Hammond","Carlos A. Valente"
"Robert Hill","Carlos A. Valente"
"Olivia O'Brien","Garrett Nash"
"No I.D.","Jermaine Dupri"
"Brenda Russell","Jermaine Dupri"
"Sean Garrett","Ciara Harris"
"LaMarquis Jefferson","Ciara Harris"
"Craig Love","Ciara Harris"
"Zachary Wallace","Ciara Harris"
"Jonathan ""Lil Jon"" Smith","Ciara Harris"
"Brian Lee","Kyrre Gørvell-Dahll"
"Ali Tamposi","Kyrre Gørvell-Dahll"
"Selena Gomez","Kyrre Gørvell-Dahll"
"Andrew Watt","Kyrre Gørvell-Dahll"
"Dean Felber","Mark Bryan"
"Darius Rucker","Mark Bryan"
"Jim ""Soni"" Sonefeld","Mark Bryan"
"Lukasz Gottwald","Katy Perry"
"Max Martin","Katy Perry"
"E. Kidd Bogart","Ryan Tedder"
"Jack Blades","Ted Nugent"
"Tommy Shaw","Ted Nugent"
"Zachary Scott Carothers","Robert Bateman"
"Freddie Gorman","Robert Bateman"
"John Baldwin Gourley","Robert Bateman"
"John Hill","Robert Bateman"
