Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
91,Georgetown,17,2,15,0.118,-1.85,10.62,,2,14,,1,7,,1,8,,856,1068,,689,374,971,0.385,119,372,0.32,201,268,0.75,172,560,258,151,59,222,230
92,Georgia NCAA,28,21,7,0.75,24.09,13.27,,10,5,,11,3,,9,3,,1997,1694,,1129,624,1651,0.378,107,377,0.284,339,483,0.702,252,851,265,226,90,480,475
93,Georgia Southern,24,11,13,0.458,-10.54,-9.44,,5,9,,9,5,,2,8,,1813,1552,,959,539,1336,0.403,168,504,0.333,306,445,0.688,221,705,275,224,67,388,387
94,Georgia State,24,13,11,0.542,-9.89,-8.76,,9,7,,7,5,,6,6,,1605,1538,,971,542,1437,0.377,128,428,0.299,326,478,0.682,278,903,288,174,102,398,415
95,Georgia Tech NCAA,26,17,9,0.654,20.18,16.14,,12,6,,10,3,,5,5,,1706,1601,,1050,613,1506,0.407,133,396,0.336,242,342,0.708,209,788,303,144,78,329,421
96,Gonzaga NCAA,27,23,4,0.852,20.24,4.46,,16,1,,12,1,,11,2,,1917,1444,,1084,518,1355,0.382,135,441,0.306,273,393,0.695,155,574,287,193,44,364,439
97,Grambling,20,10,10,0.5,-12.73,-12.63,,8,6,,6,2,,4,8,,1266,1268,,802,437,1089,0.401,88,285,0.309,306,487,0.628,228,691,238,144,58,372,389
98,Grand Canyon,25,18,7,0.72,-2.16,-8.98,,8,4,,13,1,,5,6,,1845,1412,,1008,473,1147,0.412,138,432,0.319,328,491,0.668,205,745,284,145,62,463,394
99,Green Bay,22,15,7,0.682,5.2,-0.21,,14,4,,6,4,,9,3,,1427,1308,,884,448,1228,0.365,198,610,0.325,214,294,0.728,235,695,278,148,49,332,369
100,Hampton,15,4,11,0.267,-25.27,-17.87,,4,9,,3,5,,1,6,,839,950,,600,331,782,0.423,92,271,0.339,196,297,0.66,138,561,202,104,53,283,264
101,Hartford,12,3,9,0.25,-24.04,-12.04,,3,9,,2,6,,1,3,,617,761,,480,278,708,0.393,62,232,0.267,143,197,0.726,115,416,162,106,36,170,190
102,Hawaii,17,9,8,0.529,-2.86,-1.66,,7,6,,4,2,,5,6,,1080,953,,690,349,897,0.389,84,287,0.293,171,234,0.731,142,483,170,105,58,160,249
103,High Point NCAA,29,22,7,0.759,-8.55,-16.8,,17,3,,13,4,,9,2,,2094,1753,,1161,645,1728,0.373,119,455,0.262,344,489,0.703,297,1013,292,164,78,365,494
104,Hofstra,20,8,12,0.4,-9.96,-4.31,,5,7,,4,4,,4,8,,1193,1306,,805,450,1164,0.387,159,450,0.353,247,356,0.694,232,697,269,165,52,365,366
105,Holy Cross,15,7,8,0.467,-10.34,-9.01,,7,7,,4,2,,3,6,,913,933,,600,373,862,0.433,92,288,0.319,95,146,0.651,120,483,205,105,56,241,236
106,Houston,25,17,8,0.68,11.87,7.07,,12,5,,8,4,,9,4,,1663,1543,,998,553,1433,0.386,97,399,0.243,340,480,0.708,241,858,315,247,82,506,447
107,Houston Christian,22,11,11,0.5,-19.19,-17.13,,6,7,,7,3,,3,8,,1435,1039,,881,377,920,0.41,54,183,0.295,231,326,0.709,170,581,193,132,38,265,284
108,Howard,19,15,4,0.789,-9.36,-15.84,,10,2,,9,1,,6,3,,1292,1169,,760,412,1216,0.339,106,414,0.256,239,344,0.695,240,680,228,138,65,368,421
109,Idaho,24,17,7,0.708,1.4,-2.85,,14,3,,11,1,,6,6,,1731,1629,,964,642,1569,0.409,155,493,0.314,190,295,0.644,237,846,271,141,89,306,450
110,Idaho State NCAA,26,22,4,0.846,7.14,-4.19,,15,2,,14,0,,8,3,,1867,1493,,1045,512,1458,0.351,142,536,0.265,327,433,0.755,217,753,239,185,52,375,382
111,Illinois,23,5,18,0.217,5.54,16.02,,2,16,,5,7,,0,11,,1370,1611,,920,579,1432,0.404,152,477,0.319,301,415,0.725,246,830,338,210,62,333,366
112,Illinois State,24,15,9,0.625,10.13,3.61,,11,6,,8,5,,7,4,,1640,1392,,966,488,1252,0.39,153,483,0.317,263,352,0.747,170,680,292,166,67,339,408
113,Illinois-Chicago,19,3,16,0.158,-12.97,0.53,,1,13,,2,7,,1,9,,1156,1321,,764,471,1043,0.452,120,340,0.353,259,362,0.715,189,658,300,184,49,328,350
114,Incarnate Word,15,6,9,0.4,-20.17,-11.89,,4,5,,4,3,,2,6,,897,891,,604,334,765,0.437,67,233,0.288,156,217,0.719,138,462,184,108,33,198,208
115,Indiana NCAA,27,21,6,0.778,30.16,15.64,,16,2,,10,3,,8,2,,2010,1618,,1079,607,1616,0.376,138,442,0.312,266,366,0.727,198,856,251,142,80,400,501
116,Indiana State,20,5,15,0.25,-11.51,1.69,,2,12,,3,6,,2,9,,1251,1515,,809,548,1183,0.463,148,420,0.352,271,394,0.688,187,700,345,137,73,289,323
117,Iona,15,6,9,0.4,-19.35,-17.68,,5,6,,3,4,,3,5,,820,845,,599,294,781,0.376,65,226,0.288,192,263,0.73,163,500,170,139,34,286,236
118,Iowa NCAA,30,20,10,0.667,24.31,18.51,,11,8,,12,3,,6,6,,2583,2409,,1205,905,2033,0.445,250,724,0.345,349,518,0.674,348,973,499,224,79,380,496
119,Iowa State NCAA,28,17,11,0.607,22.54,16.97,,12,6,,10,4,,6,6,,2156,2000,,1128,740,1781,0.415,191,569,0.336,329,454,0.725,252,933,422,178,139,327,522
120,IUPUI,20,15,5,0.75,12.31,-0.54,,11,3,,6,2,,9,3,,1402,1145,,809,437,1103,0.396,96,372,0.258,175,248,0.706,136,529,221,159,48,315,359
121,Jackson State NCAA,24,18,6,0.75,-1.89,-9.35,,14,1,,11,0,,7,5,,1632,1453,,960,516,1439,0.359,130,376,0.346,291,444,0.655,246,705,303,220,91,348,468
122,Jacksonville,21,4,17,0.19,-20.52,-4.73,,1,13,,3,6,,1,11,,1216,1390,,849,493,1176,0.419,139,440,0.316,265,372,0.712,188,758,287,137,77,254,281
123,Jacksonville State,24,15,9,0.625,0.72,-5.19,,12,7,,11,2,,4,7,,1546,1404,,958,513,1342,0.382,105,388,0.271,273,367,0.744,168,768,238,148,71,327,380
124,James Madison,24,14,10,0.583,0.24,-1.06,,9,6,,10,4,,4,6,,1679,1648,,970,596,1525,0.391,146,464,0.315,310,417,0.743,249,755,291,179,61,296,402
125,Kansas,25,7,18,0.28,9.8,12.84,,3,15,,7,7,,0,11,,1760,1836,,1010,666,1617,0.412,166,506,0.328,338,478,0.707,292,934,379,168,101,355,433
126,Kansas City,22,10,12,0.455,-4.64,0.21,,7,8,,6,5,,4,7,,1501,1442,,894,484,1136,0.426,136,413,0.329,338,471,0.718,201,667,264,124,46,268,333
127,Kansas State,27,9,18,0.333,9.97,14.01,,3,15,,7,8,,2,10,,1702,1811,,1089,655,1653,0.396,191,590,0.324,310,427,0.726,272,838,411,252,79,316,421
128,Kennesaw State,19,7,12,0.368,-18.88,-8.74,,2,11,,7,6,,0,6,,1233,1040,,759,387,912,0.424,105,330,0.318,161,239,0.674,142,484,240,143,36,190,255
129,Kent State,20,11,9,0.55,-1.07,2.03,,10,6,,7,1,,4,8,,1368,1430,,809,511,1172,0.436,125,355,0.352,283,385,0.735,153,598,243,163,54,250,411
130,Kentucky NCAA,27,18,9,0.667,21.13,14.61,,9,6,,12,2,,5,6,,1970,1794,,1086,668,1598,0.418,132,426,0.31,326,478,0.682,294,912,303,148,89,417,397
131,La Salle,26,11,15,0.423,-5.9,-4.05,,7,10,,7,7,,5,7,,1680,1728,,1050,626,1554,0.403,148,522,0.284,328,467,0.702,313,983,397,159,89,443,469
132,Lafayette,13,5,8,0.385,-6.64,-3.33,,5,7,,2,4,,3,4,,789,832,,525,293,786,0.373,110,333,0.33,136,172,0.791,106,398,199,103,29,145,158
133,Lamar,24,10,14,0.417,-11.34,-5.67,,9,6,,5,5,,5,9,,1484,1560,,974,544,1238,0.439,125,391,0.32,347,493,0.704,211,802,324,165,77,437,423
134,Lehigh NCAA,16,10,6,0.625,3.81,0.12,,7,5,,6,3,,4,2,,1136,1077,,645,420,1008,0.417,80,290,0.276,157,207,0.758,129,589,228,97,59,222,242
135,Liberty,27,19,8,0.704,-0.9,-9.26,,12,4,,14,0,,5,8,,1956,1589,,1086,524,1430,0.366,202,627,0.322,339,469,0.723,212,718,294,181,65,369,430
136,Lipscomb,22,12,10,0.545,-12.92,-4.77,,8,6,,11,0,,1,10,,1402,1408,,890,476,1212,0.393,193,568,0.34,263,376,0.699,171,717,265,129,82,268,329
137,Little Rock,26,15,11,0.577,-4.78,-6.58,,9,7,,9,5,,6,6,,1528,1481,,1044,535,1321,0.405,124,385,0.322,287,416,0.69,185,741,256,138,47,410,430
138,Long Beach State,21,12,9,0.571,0.97,-2.63,,11,7,,6,5,,6,4,,1349,1207,,845,436,1069,0.408,137,427,0.321,198,302,0.656,170,652,295,135,38,341,308
139,Long Island University,18,7,11,0.389,-19.29,-17.07,,7,11,,3,6,,4,5,,1058,1098,,724,381,952,0.4,103,338,0.305,233,329,0.708,159,599,220,145,37,334,323
140,Longwood,25,14,11,0.56,-15.25,-17.61,,12,6,,11,3,,3,8,,1778,1719,,998,619,1571,0.394,156,510,0.306,325,464,0.7,291,864,328,175,64,379,436
141,Louisiana,24,16,8,0.667,-1.62,-5.87,,13,1,,11,3,,5,5,,1495,1345,,963,507,1282,0.395,127,380,0.334,204,288,0.708,218,774,307,148,61,356,384
142,Louisiana State,22,9,13,0.409,13.76,17.08,,6,8,,5,7,,4,6,,1325,1398,,899,500,1153,0.434,98,295,0.332,300,446,0.673,186,725,267,162,62,418,397
143,Louisiana Tech,24,14,10,0.583,0.58,-3.88,,8,8,,9,4,,5,6,,1550,1398,,964,520,1294,0.402,144,464,0.31,214,317,0.675,199,744,296,152,78,369,432
144,Louisiana-Monroe,23,3,20,0.13,-24.94,-7.63,,1,15,,2,10,,1,10,,1195,1480,,920,518,1245,0.416,135,413,0.327,309,454,0.681,219,713,306,203,46,257,328
145,Louisville NCAA,30,26,4,0.867,29.32,13.25,,14,2,,15,2,,8,1,,2304,1822,,1200,661,1785,0.37,143,518,0.276,357,511,0.699,316,966,335,159,77,447,451
146,Loyola (IL),27,12,15,0.444,0.64,2.1,,8,10,,4,8,,7,7,,1573,1531,,1085,558,1376,0.406,146,506,0.289,269,392,0.686,187,760,331,208,78,345,378
147,Loyola (MD),13,0,13,0,-16.56,-4.02,,0,12,,0,6,,0,7,,655,818,,520,306,691,0.443,68,197,0.345,138,196,0.704,102,461,188,93,66,191,183
