Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
101,Georgia State,30,15,15,0.5,-4.27,-2.81,,9,9,,9,6,,6,8,,2094,2056,,74,92.3,0.319,0.341,0.486,51.5,56.9,10.5,7.4,0.45,19.9,35.2,0.218
102,Georgia Tech,32,17,15,0.531,14.02,12.11,,7,11,,9,7,,6,6,,2187,2126,,70.9,93,0.23,0.303,0.488,49.9,52.4,9.5,8.6,0.463,17.1,28.4,0.156
103,Gonzaga,31,29,2,0.935,28.08,5.82,,16,0,,14,0,,12,1,,2542,1852,,68.4,86.7,0.213,0.342,0.473,43.2,52.9,8.9,5.5,0.443,19.4,26.7,0.156
104,Grambling,28,20,8,0.714,-6.65,-7.41,,14,3,,12,2,,8,6,,2028,1755,,79,78.3,0.347,0.329,0.454,47.6,60.5,11.2,5.9,0.416,25.2,31.4,0.226
105,Grand Canyon,30,24,6,0.8,7.46,-4.88,,16,3,,13,3,,11,3,,2079,1647,,68.1,79.6,0.291,0.36,0.464,46.7,53.4,10,5.8,0.428,23.7,26.6,0.199
106,Green Bay,31,25,6,0.806,14.75,-1.65,,17,3,,14,1,,9,4,,2321,1790,,66.9,86.3,0.225,0.41,0.478,47.1,61.4,8.8,4.4,0.445,20.1,26.6,0.167
107,Hampton,27,3,24,0.111,-19.32,-5.51,,3,14,,2,8,,1,14,,1464,1837,,73.5,92.6,0.387,0.37,0.507,56.3,62.2,11.2,7.4,0.459,22.4,36.4,0.283
108,Harvard,27,16,11,0.593,7.21,1.46,,9,5,,6,3,,8,8,,1868,1713,,69,92,0.302,0.3,0.488,49,56.3,9.3,6.5,0.45,19,31.6,0.216
109,Hawaii,28,19,9,0.679,1.97,-0.57,,16,3,,13,3,,6,6,,1653,1582,,65.5,85.9,0.244,0.35,0.448,51.4,50.8,11.9,9.2,0.413,17.9,30.3,0.175
110,High Point,30,20,10,0.667,-11.71,-9.17,,14,2,,12,4,,8,3,,1897,1905,,69.8,89.8,0.31,0.286,0.474,55.8,50,9.1,9.5,0.43,19.5,33.3,0.228
111,Hofstra,28,9,19,0.321,-15.07,-9.25,,3,14,,6,10,,3,9,,1597,1665,,67.6,87.5,0.285,0.324,0.476,48.2,54.8,12.8,9.7,0.441,21.3,32.5,0.199
