Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
122,Jacksonville,21,4,17,0.19,-20.52,-4.73,,1,13,,3,6,,1,11,,1216,1390,,70.5,92.8,0.316,0.374,0.514,50.3,58.2,9.1,8.6,0.478,15.8,27.1,0.225
123,Jacksonville State,24,15,9,0.625,0.72,-5.19,,12,7,,11,2,,4,7,,1546,1404,,70,83.6,0.273,0.289,0.463,47.3,46.4,8.8,8,0.421,17.7,21.6,0.203
124,James Madison,24,14,10,0.583,0.24,-1.06,,9,6,,10,4,,4,6,,1679,1648,,72.9,93.3,0.273,0.304,0.478,45.3,48.8,10.1,6.2,0.439,14.7,28.8,0.203
125,Kansas,25,7,18,0.28,9.8,12.84,,3,15,,7,7,,0,11,,1760,1836,,75.3,96.6,0.296,0.313,0.498,51.4,56.9,8.8,9.7,0.463,16.1,32,0.209
126,Kansas City,22,10,12,0.455,-4.64,0.21,,7,8,,6,5,,4,7,,1501,1442,,67,96.1,0.415,0.364,0.53,50.2,54.5,8.3,6.3,0.486,16.5,29.1,0.298
127,Kansas State,27,9,18,0.333,9.97,14.01,,3,15,,7,8,,2,10,,1702,1811,,69.6,95.4,0.258,0.357,0.488,48.3,62.7,13.3,8.7,0.454,14.5,28.7,0.188
128,Kennesaw State,19,7,12,0.368,-18.88,-8.74,,2,11,,7,6,,0,6,,1233,1040,,65.1,84,0.262,0.362,0.507,40.3,62,11.6,3.8,0.482,15.6,23.5,0.177
129,Kent State,20,11,9,0.55,-1.07,2.03,,10,6,,7,1,,4,8,,1368,1430,,71.9,98.3,0.328,0.303,0.528,46,47.6,11.2,7.3,0.489,15.6,24.6,0.241
130,Kentucky NCAA,27,18,9,0.667,21.13,14.61,,9,6,,12,2,,5,6,,1970,1794,,71.8,92.1,0.299,0.267,0.491,50.4,45.4,7.6,7.7,0.459,18.6,33,0.204
131,La Salle,26,11,15,0.423,-5.9,-4.05,,7,10,,7,7,,5,7,,1680,1728,,72.5,90.9,0.301,0.336,0.487,57.3,63.4,8.4,10.4,0.45,20,37.2,0.211
132,Lafayette,13,5,8,0.385,-6.64,-3.33,,5,7,,2,4,,3,4,,789,832,,69,91.9,0.219,0.424,0.479,46,67.9,11.4,5.5,0.443,14.3,23.2,0.173
133,Lamar,24,10,14,0.417,-11.34,-5.67,,9,6,,5,5,,5,9,,1484,1560,,70.8,90.4,0.398,0.316,0.53,52.7,59.6,9.6,7.4,0.49,22.9,30.1,0.28
134,Lehigh NCAA,16,10,6,0.625,3.81,0.12,,7,5,,6,3,,4,2,,1136,1077,,74.4,89.8,0.205,0.288,0.487,53,54.3,8.1,10.7,0.456,16.7,23.6,0.156
